date,location,src,value
2020-07-16,San Francisco,trn,34.62
2020-07-17,San Francisco,trn,35.98
2020-07-18,San Francisco,trn,28.05
2020-07-19,San Francisco,trn,29.2
2020-07-20,San Francisco,trn,28.98
2020-07-21,San Francisco,trn,34.55
2020-07-22,San Francisco,trn,34.35
2020-07-23,San Francisco,trn,31.15
2020-07-24,San Francisco,trn,34.0
2020-07-25,San Francisco,trn,29.19
2020-07-26,San Francisco,trn,30.46
2020-07-27,San Francisco,trn,34.3
2020-07-28,San Francisco,trn,35.07
2020-07-29,San Francisco,trn,34.71
2020-07-30,San Francisco,trn,34.57
2020-07-31,San Francisco,trn,34.76
2020-08-01,San Francisco,trn,29.71
2020-08-02,San Francisco,trn,29.87
2020-08-03,San Francisco,trn,35.15
2020-08-04,San Francisco,trn,34.41
2020-08-05,San Francisco,trn,34.2
2020-08-06,San Francisco,trn,37.02
2020-08-07,San Francisco,trn,36.21
2020-08-08,San Francisco,trn,29.86
2020-08-09,San Francisco,trn,31.27
2020-08-10,San Francisco,trn,34.9
2020-08-11,San Francisco,trn,34.11
2020-08-12,San Francisco,trn,35.57
2020-08-13,San Francisco,trn,35.43
2020-08-14,San Francisco,trn,38.35
2020-08-15,San Francisco,trn,35.47
2020-08-16,San Francisco,trn,30.52
2020-08-17,San Francisco,trn,34.87
2020-08-18,San Francisco,trn,36.02
2020-08-19,San Francisco,trn,35.9
2020-08-20,San Francisco,trn,34.75
2020-08-21,San Francisco,trn,36.62
2020-08-22,San Francisco,trn,32.25
2020-08-23,San Francisco,trn,30.96
2020-08-24,San Francisco,trn,35.19
2020-08-25,San Francisco,trn,34.92
2020-08-26,San Francisco,trn,35.07
2020-08-27,San Francisco,trn,34.54
2020-08-28,San Francisco,trn,36.68
2020-08-29,San Francisco,trn,30.77
2020-08-30,San Francisco,trn,31.84
2020-08-31,San Francisco,trn,33.91
2020-09-01,San Francisco,trn,34.39
2020-09-02,San Francisco,trn,35.37
2020-09-03,San Francisco,trn,35.37
2020-09-04,San Francisco,trn,40.35
2020-09-05,San Francisco,trn,34.71
2020-09-06,San Francisco,trn,33.04
2020-09-07,San Francisco,trn,33.77
2020-09-08,San Francisco,trn,33.76
2020-09-09,San Francisco,trn,30.04
2020-09-10,San Francisco,trn,32.63
2020-09-11,San Francisco,trn,33.96
2020-09-12,San Francisco,trn,29.93
2020-09-13,San Francisco,trn,28.27
2020-09-14,San Francisco,trn,31.47
2020-09-15,San Francisco,trn,32.73
2020-09-16,San Francisco,trn,35.33
2020-09-17,San Francisco,trn,35.98
2020-09-18,San Francisco,trn,39.01
2020-09-19,San Francisco,trn,36.42
2020-09-20,San Francisco,trn,30.79
2020-09-21,San Francisco,trn,33.97
2020-09-22,San Francisco,trn,31.98
2020-09-23,San Francisco,trn,33.48
2020-09-24,San Francisco,trn,33.5
2020-09-25,San Francisco,trn,36.48
2020-09-26,San Francisco,trn,35.94
2020-09-27,San Francisco,trn,31.21
2020-09-28,San Francisco,trn,32.83
2020-09-29,San Francisco,trn,34.15
2020-09-30,San Francisco,trn,34.56
2020-10-01,San Francisco,trn,36.59
2020-10-02,San Francisco,trn,39.12
2020-10-03,San Francisco,trn,36.44
